SCAN_NO_TECH	{No scan technology installed}

It dematerialises suddenly, leaving only what it carried.}
TRA_MON_DESC_4	{The monolith's glyphs take on a faint yellow tinge, then flicker and disappear. It has no power: the mysterious forces that fuel these stones are weak. I hear a faint crackling whisper on the planetary breeze, and I notice a hole in the monument's base.

I could potentially fit some of my mined resources through the gap...}
DNT_TRA_MON_LANG_4	{First Spawn... power... low ... give... element... organic... carbon...}
TRA_MON_OPT_A_4	{Insert organic element}
TRA_MON_OPT_B_4	{Insert catalytic element}
TRA_MON_OPT_C_4	{Insert metallic element}
TRA_MON_RES_A_4	{I awake this place's vengeful spirits.

They reward me.}
TRA_MON_RES_B_4	{There is silence.

My elements are not returned.}
TRA_MON_RES_C_4	{There is silence.

My elements are not returned.}
TRA_MON_DESC_5	{The monolith has the smell of burnt metal and heavy industry. Strange runes swirl and transform, forcing an image deep into my mind.

I look into the past. I see a small beaked figure, silhouetted by the light of a forge, industriously hammering armour. Next to it, a cloaked companion idly watches – seemingly content to avoid the work. Both look at me. I must choose.}
DNT_TRA_MON_LANG_5	{The First Spawn gives help to the worker. The First Spawn destroy the workshy.}
TRA_MON_OPT_A_5	{Choose the worker}
TRA_MON_OPT_B_5	{Choose the onlooker}
TRA_MON_RES_A_5	{I have pleased this place's spirits.

My equipment is filled with a strange power.}
TRA_MON_RES_B_5	{I have angered this place's spirits.

My equipment is damaged by a strange force.}
TRA_MON_DESC_6	{The ground in front of the monolith is indented by the knees of a thousand ancient pilgrims who once knelt here. A stone block, slowly, pulls back in front of me. Inside the hollow recess I'm surprised to see canisters of luxury products that have built up there through the ages...

I feel greedy unknown forces watching my every move.}
DNT_TRA_MON_LANG_6	{Goods for the First Spawn! Goods for the ancient terror of the galaxy!}
TRA_MON_OPT_A_6	{Give trade goods}
TRA_MON_OPT_B_6	{Take trade goods}
TRA_MON_OPT_C_6	{Give nothing}
TRA_MON_RES_A_6	{The undiluted joy of a forgotten tribe spills from the monolith.

I am healed, blessed and rewarded.}
TRA_MON_RES_B_6	{I retrieve several canisters.

A feeble howl of pain and dismay whispers around me.}
TRA_MON_RES_C_6	{A feeble howl of pain and dismay whispers around me.}
TRA_MON_DESC_7	{I am not alone. Tiny beaked creatures gambol around my feet. To them I am a giant, and they recoil in terror when they see me towering above them. The air fills with an unpleasant aroma, as they pin themselves against the hard edifice of the unforgiving monolith.

The terrifying obelisk itself sits in judgement above us all – both myself and the creatures of the vision.}
DNT_TRA_MON_LANG_7	{Destroy the impure. Destroy the low.}
TRA_MON_OPT_A_7	{Pet the creatures}
TRA_MON_OPT_B_7	{Further terrify the creatures}
TRA_MON_RES_A_7	{Before they disappear into the ether, the creatures thank me.

The spirits that haunt this place, however, are displeased.}
TRA_MON_RES_B_7	{The spirits that haunt this place are greatly amused.

When the quaking beaked creatures disappear, they are replaced by a gift...}
TRA_MON_DESC_8	{A terrible thirst overwhelms me, but my hydration systems are suddenly inoperable. My throat is dry, and I feel dazed. Two ancient stone cups appear.

The first is vibrant red chalice full of a slick bubbly transparent liquid. The other is embossed with the shape of a circular red shield, and has a faint yellow tone. Neither look appetizing, but if I don't take in water my death feels certain. My hand wavers between the two.}
DNT_TRA_MON_LANG_8	{Underling! Drink the healing spittle or drink the recharging spawning syrup of the First Spawn! Choose or die!}
TRA_MON_OPT_A_8	{Drink the transparent liquid}
TRA_MON_OPT_B_8	{Drink the yellow liquid}
TRA_MON_RES_A_8	{I gag slightly as the liquid treacles through my hydration systems.

Suddenly, my body feels renewed.}
TRA_MON_RES_B_8	{The bitter taste of the liquid washes through my hydration systems.

Suddenly, all my systems are stored and repaired.}
TRA_MON_DESC_9	{An unseen replication of my own self and exosuit stalks around the edge of the monolith. It screams in an ancient tongue while forcing me down onto my knees.

The doppelganger first places its boltcaster to my forehead, and then mimes cutting my belly open with the mining beam. It smiles pleasantly. I am to choose my desired execution.}
DNT_TRA_MON_LANG_9	{Choose your death! First Spawn favour obedient ToilGek underling!}
TRA_MON_OPT_A_9	{A bolt to the brain}
TRA_MON_OPT_B_9	{A laser beam to the torso}
TRA_MON_OPT_C_9	{Fight back}
TRA_MON_RES_A_9	{I close my eyes and await death. It does not come.

The doppelganger leaves me a multi-tool technology blueprint.}
TRA_MON_RES_B_9	{I close my eyes and wait to be scythed open. The pain never comes.

The doppelganger leaves me an exosuit technology blueprint.}
TRA_MON_RES_C_9	{My flailing attack is blocked by a shove of my twin's multi-tool.

The doppelganger laughs before disappearing.}
TRA_MON_DESC_10	{A barely visible crack down the centre of the ancient edifice spits out dust. The monolith shakes, and two vast doors swing open. The interior of the ancient structure is hollow, and has been used as a burial chamber.

An ancient beaked lifeform with bulging eyes lies desiccated atop an unlit funeral pyre. At its feet lie ancient treasures and technologies that have been left with it for its next life... wherever that might be
.}
DNT_TRA_MON_LANG_10	{Burn almighty First Spawn obedient ToilGek! Respect First Spawn belongings!}
TRA_MON_OPT_A_10	{Light pyre with Mining Beam}
TRA_MON_OPT_B_10	{Take tomb treasures}
TRA_MON_RES_A_10	{As it burns the corpse awakes. It nods to me, howling in pleasure.

It leaves me its tribute.}
TRA_MON_RES_B_10	{I snatch away some of the corpse's tribute.

The doors slam shut, but an ancient curse hangs heavy around me.}
TRA_MON_DESC_11	{The Monolith stands forlorn and seemingly forgotten. If I strain, I can see faint marks in the ground where ancient tribes would once come to worship and commune with the edifice. A gust of alien breeze carries a faint whisper of a voice. I struggle to hear it.

Again, the voice echoes around me. Stronger this time. I try to make out the words desperately crying out for my attention.}
DNT_TRA_MON_LANG_11	{Friend... worship us... kneel before the Gek First Spawn in silence...}
TRA_MON_OPT_A_11	{Kneel}
TRA_MON_OPT_B_11	{Try to communicate}
TRA_MON_OPT_C_11	{Turn away}
TRA_MON_RES_A_11	{The spirits that have combined with this strange monument bless my journey.}
TRA_MON_RES_B_11	{There is no answer to my call. I talk only to the wind.}
TRA_MON_RES_C_11	{The spirits that are melded with strange monument remain silent.}
TRA_MON_DESC_12	{A beak emerges from the ancient stone. It's shouting, but can't be heard. In the stone above someone, long ago, has scrawled advice for those who would approach it.
 
The beak screams wordlessly at me, furiously intoning the words of the ancient beings that once worshipped here. My scanner detects traces of a catalyst around it, but can't specify which one.}
DNT_TRA_MON_LANG_12	{Feed First Spawn beak common catalyst! Metal brings painful noise! Furious noise!}
TRA_MON_OPT_A_12	{Feed beak common catalyst}
TRA_MON_OPT_B_12	{Feed beak uncommon catalyst}
TRA_MON_OPT_C_12	{Feed beak metal}
TRA_MON_RES_A_12	{The beak whispers the words of those who once worshipped here.}
TRA_MON_RES_B_12	{The beak shouts the words of those who once worshipped here.}
TRA_MON_RES_C_12	{The beak screams the words of those who once worshipped here.

The noise is extreme. I feel great pain.}
TRA_MON_DESC_13	{I see a strange vision. Time is reverted. I am sat on a platform looking down on an execution. Two small beaked traders are kneeling before me. One is small and wiry, the other is obese with jowls that brush the wooden stage. Another lifeform, who wears a green cloth mask, readies an axe behind them.

The traders beg me for mercy. The familiar dry, croaky voice of an ancient tribe whispers encouragement into my ear...}
DNT_TRA_MON_LANG_13	{First Spawn friend receive belongings of the executed. Murder fat trader, or murder rich miner?}
TRA_MON_OPT_A_13	{Execute fat lifeform}
TRA_MON_OPT_B_13	{Execute thin lifeform}
TRA_MON_OPT_C_13	{Show mercy}
TRA_MON_RES_A_13	{The fat lifeform is finally beheaded after three strikes of the axe.

I receive its worldly goods.}
TRA_MON_RES_B_13	{The thin lifeform is finally beheaded after a single of the axe.

I receive all the money it owns.}
TRA_MON_RES_C_13	{In this timeline at least, the two lifeforms are saved. They weep and thank me.

The spirits of the monolith are displeased.}
TRA_MON_DESC_14	{A strange new reality grips me. The ancient structure swings open to reveal a body encased in ice. It is a patchwork of different body parts. Its ragged beak appears to have been stitched on with animal gut.

A hand-written sign in the language of the ancient traders can be seen above the body's head. Some sort of fuel would most likely melt the ice...}
DNT_TRA_MON_LANG_14	{Beware! Murderous abomination! Do not awake! Terror! Despair!}
TRA_MON_OPT_A_14	{Melt ice}
TRA_MON_OPT_B_14	{ออก}
TRA_MON_RES_A_14	{The creature's eyes flick open. Its hands leap around my throat.

I force it back into the depths of the disapproving Monolith.}
TRA_MON_RES_B_14	{The panel on the Monolith swings shut.

The abomination remains trapped. I am thanked.}
TRA_MON_DESC_15	{I am an observer. I witness beaked traders dressed in modern exosuits leaving an object at the base of a Monolith. It is a small mesh of wires and canisters. They charge it with a strange metal, then quickly depart.

As if in a dream, I approach the ancient edifice. It all suddenly feels real. I live and breathe in the recent past.}
DNT_TRA_MON_LANG_15	{Stop the destruction! Save the Monolith! Protect the First Spawn!}
TRA_MON_OPT_A_15	{Leave object alone}
TRA_MON_OPT_B_15	{Remove chromatic metal}
TRA_MON_RES_A_15	{The device explodes. Reality is restored.

The Monolith was not destroyed, but the spirits that haunt this place are angered.}
TRA_MON_RES_B_15	{The device is made safe. It was due to explode.

Reality is restored. I am thanked.}
TRA_MON_DESC_16	{Reality changes. I'm standing in a crater beneath a jet black sky. I'm up to my knees in a strange syrup that glows pink in the darkness. Spherical eggs float around me. Some of these mucus-covered orbs smell terrible, others are sweet and delicate.

The taint of the foul eggs is infecting the entirety of the spawning pool. I am filled by an urge to separate them.}
DNT_TRA_MON_LANG_16	{Retain foul First Spawn stench! Remove sweet eggs from the spawning syrup!}
TRA_MON_OPT_A_16	{Remove noxious eggs from pool}
TRA_MON_OPT_B_16	{Remove sweet-smelling eggs from pool}
TRA_MON_RES_A_16	{I have angered the ancients Gek spirits that dwell here.

Reality is restored.}
TRA_MON_RES_B_16	{I am smiled upon by vengeful ancient spirits.

Reality is restored.}
TRA_MON_DESC_17	{I am being watched. I look above, and see a giant lidless eye hovering over the monolith. It stares down at me unblinkingly. It does not move. It does not look elsewhere.

Its gaze is remorseless. It feels like it has always been there. Its centre crackles with a bright technological blue...}
DNT_TRA_MON_LANG_17	{The First Spawn watches you underling. Cower and despair! The First Spawn watches you underling. Cower and despair! The First Spawn watches you underling. Cower and despair!}
TRA_MON_OPT_A_17	{Cower}
TRA_MON_OPT_B_17	{Stare back}
TRA_MON_OPT_C_17	{Shoot eye}
TRA_MON_RES_A_17	{The satisfied eye fades away.

It benevolently leaves a gift.}
TRA_MON_RES_B_17	{The eye fades away at my challenge.}
TRA_MON_RES_C_17	{The eye falls to the planet's surface, and is absorbed into the ground.

It leaves behind me a precious reward...}
TRA_MON_DESC_18	{I hear a low rumble, which gradually builds into an ancient scream. It's like no other noise I've ever experienced. To this strange alien landscape it's a calm silence, inside my helmet it's a nightmarish cacophony of pain and death.

Through the noise, however, I can make out some words within the screams.}
DNT_TRA_MON_LANG_18	{ToilGek dare approach First Spawn holy site? Leave! Leave! Depart or die!}
TRA_MON_OPT_A_18	{Touch Monolith}
TRA_MON_OPT_B_18	{Move away}
TRA_MON_OPT_C_18	{Wait}
TRA_MON_RES_A_18	{The vengeful spirits that inhabit this place are grateful for my obedience.}
TRA_MON_RES_B_18	{The vengeful sprits that inhabit this place punish my disobedience.}
TRA_MON_DESC_19	{My reality inverts. I am chained on the monolith, my arms are in manacles above my head and my feet are dangling several feet from the ground. A creature, its beak showing through the blackened animal hide mask, approaches on stilts. It wields a red hot metal rod.

It pecks at my eyes, then pecks at my tongue. I must choose my punishment.}
DNT_TRA_MON_LANG_19	{Advancement through pain! Eyes for knowledge. Tongue for language.}
TRA_MON_OPT_A_19	{Choose eyes}
TRA_MON_OPT_B_19	{Choose tongue}
TRA_MON_OPT_C_19	{Beg for mercy}
TRA_MON_RES_A_19	{The creature plunges its poker into my right eye. This reality fades.

I am left with knowledge.}
TRA_MON_RES_B_19	{The creature plunges its poker into my mouth. The vision fades.

I am gifted the knowledge of an alien language.}
TRA_MON_RES_C_19	{The creature disappears and reality reverts.

The metal rod remains...}
TRA_MON_DESC_20	{A small green hand reaches out through the stone monolith, its fingernails yellowed and dirty. It opens to show an empty palm, and waits for my response.

This feels like part of an ancient tradition. There is no malice, just cold expectation.}
DNT_TRA_MON_LANG_20	{First Spawn demand tax. Pay units immediately.}
TRA_MON_OPT_A_20	{Give element}
TRA_MON_OPT_B_20	{Give units}
TRA_MON_OPT_C_20	{Refuse}
TRA_MON_RES_A_20	{The collector refuses my offering. It curses me.}
TRA_MON_RES_B_20	{The collector takes my offering. The spirits that dwell here are appeased.}
TRA_MON_RES_C_20	{The collector is offended. I am cursed.}
EXP_MON_DESC_1	{I feel faint, as if my mind is being invaded. Pustules on my skin grow, bubble and pop - and I feel countless tiny stabbing pin-pricks scrabbling from each gaping hole.
 
Suddenly metal spiders, perhaps tiny Sentinels, run up my shoulder and into my visor. Can this be real? This CANNOT be real. I start to scream.}
DNT_EXP_MON_LANG_1	{Calm, child.}
EXP_MON_OPT_A_1	{Wait it out}
EXP_MON_OPT_B_1	{Fire weapon}
EXP_MON_OPT_C_1	{Remove helmet and scrape away tiny metal spiders}
EXP_MON_RES_A_1	{The hallucination fades. I have passed some sort of test.

A reward materialises.}
EXP_MON_RES_B_1	{The hold on my mind is shattered when I strike the monolith.

Reality is restored.}
EXP_MON_RES_C_1	{The metal spiders enter my skull, and I foolishly rip off my helmet.

The hallucination fades. The pain does not.}
EXP_MON_DESC_2	{Tiny floating tetrahedrons emerge from the planet's surface and surround me. I try to wave them away with my multi-tool, but each time they swarm closer to it - as if attracted to it somehow.

I raise my multi-tool, and they shimmer blue as they dart this way and that. Closer and closer. They are within touching distance of my multitool. They make one final surge...}
DNT_EXP_MON_LANG_2	{Korvax Echoes will advance the Traveller. Korvax Echoes will advance Traveller's technology.}
EXP_MON_OPT_A_2	{Let the tetrahedrons in}
EXP_MON_OPT_B_2	{Escape the tetrahedron cloud}
EXP_MON_RES_A_2	{My multi-tool glows bright blue.

I have a new technology blueprint.}
EXP_MON_RES_B_2	{The sharp edges of the floating objects rip holes in my exosuit.

I gasp for air while it repairs.}
EXP_MON_DESC_3	{I begin to feel dizzy. A strange lethargy comes over me, and I feel compelled to lie down in front of the ancient relic. This place feels calming. It feels like home, wherever that might have once been.

I know that if I truly wanted to fight the impulse to sleep I probably could, but I feel warm and comfortable basking in the glow of the ancient runes.}
DNT_EXP_MON_LANG_3	{Sleep, child. Korvax Echoes bless you.}
EXP_MON_OPT_A_3	{Sleep}
EXP_MON_OPT_B_3	{Resist}
EXP_MON_RES_A_3	{I sleep deeply.

I awake reinvigorated.}
EXP_MON_RES_B_3	{I resist the command of the monolith.

Its power fades.}
EXP_MON_DESC_4	{A flickering reflection of my own body emerges from a portal. It mimics every move I make. When I wave, it waves. When I raise my multi-tool, it copies instantly. The doppelganger makes a motion to suggest it wants something, and we both recoil when I realise I've instinctively matched its movements.

Its body shimmers, but its equipment looks somehow real. Its multi-tool looks better than my own. The dimensional irregularity is fading.}
DNT_EXP_MON_LANG_4	{Korvax Echoes command: reward yourself.}
EXP_MON_OPT_A_4	{Give multi-tool}
EXP_MON_OPT_B_4	{Give Propulsion Gel}
EXP_MON_OPT_C_4	{Shoot doppelganger}
EXP_MON_RES_A_4	{We hand each other our multi-tools before the doppelganger disappears.

The mirror-me fades, but the gift can remain.}
EXP_MON_RES_B_4	{We hand each other propulsion gel before the doppelganger disappears.

The mirror-me fades, but both gifts remain.}
EXP_MON_RES_C_4	{I see my own look of fear in the doppelganger as I pull the trigger.

I blast myself in the chest.}
EXP_MON_DESC_5	{For many ages it appears that pilgrims have carved numerical figures between the glowing glyphs of the monolith. Looking down, I notice an ancient coin. I scrape the ground with my boot, and unearth several more.

The site is otherwise silent. Perhaps it's eternally unresponsive, or perhaps it waits for something.}
DNT_EXP_MON_LANG_5	{Reject greed. Embrace Atlas.}
EXP_MON_OPT_A_5	{Offer units}
EXP_MON_OPT_B_5	{Take coins}
EXP_MON_RES_A_5	{The echoes that dwell here awake.

They thank and bless me.}
EXP_MON_RES_B_5	{The echoes that dwell here awake.

They are disappointed.}
EXP_MON_DESC_6	{I stand next to the powerful glow of the monolith, studying ancient runes, when suddenly my multi-tool begins to heat up. I can see wisps of a strange blue energy being pulled in from the obelisk and surrounding my combat attachments.

If I pull the trigger, the exhaust will automatically open - allowing this strange ethereal substance into the body of my equipment.}
DNT_EXP_MON_LANG_6	{Korvax Echoes bless technology. Allow entrance.}
EXP_MON_OPT_A_6	{Pull the trigger}
EXP_MON_OPT_B_6	{Dismiss the attentions of the monolith}
EXP_MON_RES_A_6	{The blue energy field fills my multi-tool.

It somehow installs a new technology blueprint.}
EXP_MON_RES_B_6	{The blue energy slowly dissipates.

I feel alone once more.}
EXP_MON_DESC_7	{I'm running my fingers over the ancient glowing runes, when I look down. An expanding pool of liquid metal has rippled out of the obelisk's base. My feet have already been covered. In the bright reflection I see my expression turn to horror as I begin to sink.

I feel warming hands on my legs, pulling me down into the silver sheet. Every hazard detection device on my multi-tool is going haywire. Radiation, heat, cold... every danger imaginable.}
DNT_EXP_MON_LANG_7	{Bathe in our waters. Feel Korvax Echoes calm.}
EXP_MON_OPT_A_7	{Sink}
EXP_MON_OPT_B_7	{Struggle}
EXP_MON_RES_A_7	{I emerge from the metal pool in a fetal position. I feel alive and reinvigorated.

Some equipment is repaired and recharged.}
EXP_MON_RES_B_7	{I thrash from side to side in the metal pool.

I am free, but the hazards have taken their toll.}
EXP_MON_DESC_8	{I see a strange vision. Blue light pours from the monolith as if a curtain has been dropped within. I hear a gentle hubbub of voices, and catch a familiar smell on the breeze. I cannot remember my home, but I know that this doorway leads there.

I ache for a past I cannot remember. Every inch of my soul wants to make the leap back. I look to the skies, and the infinity beyond. Can I truly abandon my journey, when it's only just begun?}
DNT_EXP_MON_LANG_8	{Past is dead. Reconstruction impossible.}
EXP_MON_OPT_A_8	{Step back into the past}
EXP_MON_OPT_B_8	{Resist temptation}
EXP_MON_RES_A_8	{The portal slips shut as soon as I make a move.

I feel the pity of the spirits that live in this place.}
EXP_MON_RES_B_8	{I try to capture a memory of these sensations, before turning away.

The spirits that dwell here admire my decision. I am rewarded.}
EXP_MON_DESC_9	{Two stone blocks slowly revolve on the base of the monolith. Two beads of red light then trace images on each one. The red lights then pool together and liquefy in an indentation below. The closer I get, the more agitated the red pool becomes.

The images both show masked electronic lifeforms. The first shows the lifeform absorbing power to break free from its shackles. The second shows it hiding from its captors.}
DNT_EXP_MON_LANG_9	{Korvax Entities escaped slavery. Korvax Echoes share this knowledge.}
EXP_MON_OPT_A_9	{Place hand on the lifeform breaking free}
EXP_MON_OPT_B_9	{Place hand on the lifeform taking shelter}
EXP_MON_RES_A_9	{The red liquid surges into my multi-tool.

It somehow unlocks a technology blueprint.}
EXP_MON_RES_B_9	{The red liquid surges into my exosuit.

It somehow unlocks a technology blueprint.}
EXP_MON_DESC_10	{A chiselled hole appears at the foot of the obelisk. From its smoothed edges and the scraped markings around it, it's clear that over centuries unknown creatures have pushed elements through this gap.

It's impossible to tell quite what will happen, but below it are three blocks of the exact same dimensions that look like they can be turned by a mechanism deep within the monolith itself. I search my gear for the rare elements that look like they could fit...}
DNT_EXP_MON_LANG_10	{Korvax Echoes embrace Traveller gift.}
EXP_MON_OPT_A_10	{Insert organic element}
EXP_MON_OPT_B_10	{Insert rare metal}
EXP_MON_OPT_C_10	{Insert rare catalyst}
EXP_MON_RES_A_10	{The monolith somehow transforms my offering.}
EXP_MON_RES_B_10	{The monolith somehow increases my offering.}
EXP_MON_RES_C_10	{The monolith somehow increases my offering.}
EXP_MON_DESC_11	{The Monolith disappears. The landscape around me seems the same, but somehow the planetary vegetation has moved. Sitting central to where the mysterious stone once stood is a red glowing orb.

The intensity of the orb burns the ground beneath it. It crackles with an unknown power. I feel compelled to pick it up, and become a part of it. A distant voice speaks to me...}
DNT_EXP_MON_LANG_11	{Behold the holy Atlas stone. Avoid contact. Show respect.}
EXP_MON_OPT_A_11	{Hold red orb}
EXP_MON_OPT_B_11	{Stand back}
EXP_MON_RES_A_11	{The red orb scorches my skin.

I am torn back to my own reality.}
EXP_MON_RES_B_11	{The red orb convulses, hovers up and plunges into my chest.

I am blessed and rejuvenated. Reality is restored.}
EXP_MON_DESC_12	{I'm trying to read the ancient glyphs when a liquid metal lasso emerges and wraps itself around my helmet. It freezes in place, before pulling my head into contact with the glow of the monolith.

The ancient stone is warm, and deep inside I hear the hum of an arcane technology as it prepares to unleash itself. I look up back up to the glyphs to try to guess why this might be happening. They talk to me in an alien tongue.}
DNT_EXP_MON_LANG_12	{Korvax Echoes bless with language. Do not resist.}
EXP_MON_OPT_A_12	{Pull free}
EXP_MON_OPT_B_12	{Wait}
EXP_MON_RES_A_12	{An entire language floods every part of my mind.

I retain what I can. The rest fades almost instantaneously.}
EXP_MON_RES_B_12	{I wrench myself free. The strange metal connector sparks and hisses.

I retain the rare elements it was made from...}
EXP_MON_DESC_13	{A child emerges from the monolith. It takes a few moments before I realise that... it's me. I look carefree and innocent. The little one stares up at my exosuit, and tries to see me through my visor.

The child suddenly starts to weep, and clings to my knees. It implores me never to leave. It doesn't want to be alone. I should stay here forever. We should be reunited. Whole again once more.}
DNT_EXP_MON_LANG_13	{Past is dead. Youth is over. Only the traveller journey remains.}
EXP_MON_OPT_A_13	{Stay}
EXP_MON_OPT_B_13	{Comfort, then leave}
EXP_MON_OPT_C_13	{ออก}
EXP_MON_RES_A_13	{The child withdraws and shakes its head.

I try to embrace it. It turns to dust.}
EXP_MON_RES_B_13	{The child understands. We embrace.

It leaves me with a gift.}
EXP_MON_RES_C_13	{The child wails. It can't understand my decision.

The monolith looks down upon us in silent judgement.}
EXP_MON_DESC_14	{An empty shell of an electronic lifeform emerges from the monolith. It is ancient and weather-beaten. The light in its mask has been extinguished for many centuries.

It holds a rusted canister in its hand, and my scanner detects that it once held refined metal. The scan also reveals an unknown substance deep within the defunct entity's casing.}
DNT_EXP_MON_LANG_14	{Korvax Echoes request! Traveller! Restore holy casing to Korvax Convergence! Ignore valuable casing! Please!}
EXP_MON_OPT_A_14	{Add metal to canister}
EXP_MON_OPT_B_14	{Open casing}
EXP_MON_RES_A_14	{The lights in the mask flicker on. The casing convulses before being absorbed back into the monolith.

I am blessed.}
EXP_MON_RES_B_14	{I crack open the metal casing and retrieve a valuable reward.

A strange feeling of coldness and desolation comes over me as I do so...}
EXP_MON_DESC_15	{The land around me suddenly inverts. My reality is flipped. The inside of the planet is hollow, and I'm standing at the base of its vast bowl. Around me the roots of trees push upwards from uncovered alien soil.

I look down, and see the foundations of the Monolith raised at my feet. Crystalline veins of different elements pulsate through the exposed rock. I hear a lifeform screaming in binary.}
DNT_EXP_MON_LANG_15	{Overpowered Korvax Echoes subvert reality. Restore order. Remove power. Remove organic corruption.}
EXP_MON_OPT_A_15	{Extract organic elements}
EXP_MON_OPT_B_15	{Extract metal}
EXP_MON_OPT_C_15	{Extract rare metal}
EXP_MON_RES_A_15	{Reality is restored. Inversion ends.

I am thanked.}
EXP_MON_RES_B_15	{The inversion gets worse. I feel as if every part of me is fed through itself.

I emerge alive, but broken.}
EXP_MON_DESC_16	{My movements seem normal, but everything else is running faster than it should. The sun spins around this globe in seconds, days endlessly turn to night and back again. The creatures that graze and hunt around site pass by in a blur.

I'm trapped in a time vortex. Numbers on my multi-tool seem to tick higher and higher. The closer I get to the Monolith, the more disturbance is added to the timeline...}
DNT_EXP_MON_LANG_16	{Traveller! Move back to join future. Touch monolith to restore timeline.}
EXP_MON_OPT_A_16	{Touch monolith}
EXP_MON_OPT_B_16	{Move away}
EXP_MON_RES_A_16	{The timeline is reverted and restored.

Nothing has changed.}
EXP_MON_RES_B_16	{I step out into the future.

My experience is unchanged, but galactic interest rates have had an effect on my unit count.}
EXP_MON_DESC_17	{I am being watched. A red laser dot appears on the ancient stone structure. I'm a target. I turn, but can't see the potential assailant. Somewhere out there on the alien landscape, someone's about to pull a trigger.

There's no cover to speak of, and no time to get behind the obelisk. Suddenly, the words of an unknown power blaze brightly on the monolith.}
DNT_EXP_MON_LANG_17	{Traveller, retreat! Korvax Echoes give protection. Move back.}
EXP_MON_OPT_A_17	{Touch monolith}
EXP_MON_OPT_B_17	{Move back}
EXP_MON_OPT_C_17	{Stand still}
EXP_MON_RES_A_17	{The monolith does nothing. A distant crack of a long-range boltcaster wounds me.

Beyond that, silence.}
EXP_MON_RES_B_17	{I quickly move back, allowing a bright red energy surge to build in the Monolith.

It targets a distant figure, who is swiftly vaporised.}
EXP_MON_DESC_18	{Stars have aligned above the monolith. In the heavens above two distinct lines of distant suns can be seen stretching out into the depths of space. To be here at this exact moment in time, when the moving parts of the galaxy are aligned so perfectly, would seem almost an impossibility.

I am filled with a strange calm. One line of stars points towards the glow of a dull red giant, the other an unseen point far, far beyond my vision.}
DNT_EXP_MON_LANG_18	{Traveller. Embrace unknown. Shine light in darkness. Discover galaxy centre.}
EXP_MON_OPT_A_18	{Choose red giant}
EXP_MON_OPT_B_18	{Choose unseen point}
EXP_MON_RES_A_18	{The stars seem to move out of alignment.

I am unrewarded, and alone.}
EXP_MON_RES_B_18	{I am blessed with a gift that will aid my journey to this distant, unknown location.}
EXP_MON_DESC_19	{I feel faint. Ill, even. Looking around, the vegetation that surrounds this ancient structure looks withered and sickly. The creatures of the planet, meanwhile, appear to keep their distance. Environmental warning sensors in my exosuit are behaving erratically.

I could tie some of my Protection Mesh's operations to this place, but it's unclear exactly what. The answer perhaps lies in a warning that's been etched into the stone...}
DNT_EXP_MON_LANG_19	{Beware! Monolith create dangerous toxins! Poison! Move back!}
EXP_MON_OPT_A_19	{Reduce monolith's toxicity}
EXP_MON_OPT_B_19	{Dampen monolith's radiation}
EXP_MON_RES_A_19	{The toxins released by the monolith are temporarily contained.

I am thanked by the planetary overseer.}
EXP_MON_RES_B_19	{The monolith continues to poison the land around it, and myself.}
WAR_MON_DESC_1	{I am trying to read the glyphs on the ancient monument when I feel a strange chill. A layer of frozen gas suddenly coats the monolith from bottom to top. It's so cold that I can see my breath inside my helmet.

There is one small gap in the crystal ice, and I feel convinced that I could feed some of my mined elements through it, so they can come into contact with the monolith behind.}
DNT_WAR_MON_LANG_1	{Fuel given. Ice thaws. Vy'keen rise.}
WAR_MON_OPT_A_1	{Insert organic element}
WAR_MON_OPT_B_1	{Insert catalytic element}
WAR_MON_OPT_C_1	{Insert metallic element}
WAR_MON_RES_A_1	{The frozen gas melts into the atmosphere.

I am rewarded.}
WAR_MON_RES_B_1	{There is silence.

My elements are not returned.}
WAR_MON_RES_C_1	{There is silence.

My elements are not returned.}
WAR_MON_DESC_2	{The body of a warrior emerges from the obelisk, a jagged tear in their midriff suggesting that the dangerous-looking multi-tool that sits in their hand was not enough to save them.
 
The surface of the sculpted rock blurs and shows images of military worship. It's trying to tell me something.}
DNT_WAR_MON_LANG_2	{Respect the Warrior! Respect their weapon!}
WAR_MON_OPT_A_2	{Bury the soldier and multi-tool}
WAR_MON_OPT_B_2	{Take the multi-tool and leave}
WAR_MON_RES_A_2	{Ancient voices howl their appreciation in a wind that whips around me.

An offering emerges from the monolith.}
WAR_MON_RES_B_2	{I take the multi-tool from the body.
 
I'm about to turn to leave when a crimson bolt of energy strikes me on the right shoulder.}
WAR_MON_DESC_3	{I see a strange vision. A small terrified creature emerges from the monolith and runs between my legs. I hear the noises of an ancient hunt: the howls of pack animals in pursuit and the thunder of hooves. 

Warriors on vast beasts charge through the rock, and amidst the chaos one sees me staring. It raises its facial tendrils in greeting, barks a few words and swings a bladed weapon down towards me.}
DNT_WAR_MON_LANG_3	{Grah! Vy'keen Ancients bless your journey!}
WAR_MON_OPT_A_3	{Grab weapon}
WAR_MON_OPT_B_3	{Dodge weapon}
WAR_MON_RES_A_3	{The hallucination fades, but the blade remains.

